Strategy,Temperature,Distinct-1,Distinct-2,Distinct-3,Avg Reward
Greedy,N/A,0.4943904263275991,0.8967596081386586,0.973424449506454,-3.1789306640625
Beam (B=3),N/A,0.4996220710506425,0.9055597867479056,0.9831158864159631,-2.9344970703125
Top-K (K=50),0.2,0.4833091436865022,0.8859649122807017,0.9668630338733432,-3.2008056640625
Top-P (P=0.9),0.2,0.4833091436865022,0.8859649122807017,0.9668630338733432,-3.2008056640625
Greedy,N/A,0.4943904263275991,0.8967596081386586,0.973424449506454,-3.1789306640625
Beam (B=3),N/A,0.4996220710506425,0.9055597867479056,0.9831158864159631,-2.9344970703125
Top-K (K=50),0.5,0.4901098901098901,0.8952029520295203,0.9754646840148699,-3.4635986328125
Top-P (P=0.9),0.5,0.48721694667640614,0.8933038999264165,0.9733135656041513,-3.3893798828125
Greedy,N/A,0.4943904263275991,0.8967596081386586,0.973424449506454,-3.1789306640625
Beam (B=3),N/A,0.4996220710506425,0.9055597867479056,0.9831158864159631,-2.9344970703125
Top-K (K=50),0.8,0.48627167630057805,0.8864628820960698,0.968475073313783,-3.9199951171875
Top-P (P=0.9),0.8,0.4844765342960289,0.8814545454545455,0.9619047619047619,-4.0735107421875
Greedy,N/A,0.4943904263275991,0.8967596081386586,0.973424449506454,-3.1789306640625
Beam (B=3),N/A,0.4996220710506425,0.9055597867479056,0.9831158864159631,-2.9344970703125
Top-K (K=50),1.0,0.48807089297886846,0.9004804392587509,0.9799585348997927,-4.0766357421875
Top-P (P=0.9),1.0,0.4982181040627227,0.9016511127063891,0.9797541576283442,-3.6020263671875
Greedy,N/A,0.4943904263275991,0.8967596081386586,0.973424449506454,-3.1789306640625
Beam (B=3),N/A,0.4996220710506425,0.9055597867479056,0.9831158864159631,-2.9344970703125
Top-K (K=50),1.2,0.5007132667617689,0.9044540229885057,0.983357452966715,-3.5285888671875
Top-P (P=0.9),1.2,0.5126227208976157,0.9081920903954802,0.9822190611664295,-3.6735107421875
